Category,Trigger_Keywords,Full_Answer,Links_To_Send,Priority
Greeting,"hi, hello, namaste, hii, hey, start, help","Namaste! 🙏 Welcome to *hsbteleet.com* WhatsApp help.

I can instantly share:
1️⃣ HSBTE Diploma PYQ (branch + semester)
2️⃣ Diploma Syllabus PDF (branch-wise)
3️⃣ Haryana LEET Syllabus / Exam Pattern
4️⃣ Free LEET sample papers
5️⃣ Premium ₹99 & Ultra Premium ₹149 details
6️⃣ Counseling help ₹99

Reply with what you need, e.g.
• ""CSE 1st semester PYQ""
• ""LEET syllabus""
• ""Computer syllabus PDF""
• ""Buy Premium""
• ""Ultra Premium kya milta hai""",https://hsbteleet.com/,Normal
Doubt / Unknown,"doubt, doubt hai, question, custom, help me, confuse, samajh nahi, not listed, other","Your message is marked HIGH PRIORITY ✅

Our admin will contact you soon on WhatsApp.

Meanwhile you can also:
• Email: nishant@hsbteleet.com
• WhatsApp: https://wa.me/919992507270
• Contact page: https://hsbteleet.com/contact

Thank you for choosing hsbteleet.com 🙏",https://hsbteleet.com/contact,HIGH
Why Buy Premium,"why premium, why buy, kyun buy, premium kyu, worth, free vs premium, difference free","*Why buy Premium on hsbteleet.com?*

Free site pe HSBTE diploma PYQ + basic LEET info milti hai.

*Premium (₹99 one-time)* unlock karta hai:
✅ *34 exclusive* full-syllabus LEET sample papers (free papers se alag unique questions)
✅ Official Haryana LEET Syllabus PDF + B.Tech LEET Prospectus
✅ Formula sheets + important topics + cheat sheets (Section A–D)
✅ Rank Analysis tool
✅ 100% Ad-free + *Lifetime access*

LEET 90 Q / 90 min pattern pe practice karne ke liye ye papers real exam jaisi difficulty pe banaye gaye hain.

👉 Buy / Login: https://hsbteleet.com/premium-login?tier=premium
👉 Plans detail: https://hsbteleet.com/btech-leet-premium
👉 After login papers: https://hsbteleet.com/premium-papers",https://hsbteleet.com/premium-login?tier=premium | https://hsbteleet.com/btech-leet-premium,Normal
Premium Plan,"premium, buy premium, premium 99, get premium, premium price, premium kya hai","*HSBTE LEET Premium — ₹99 (one-time, lifetime)*

*Includes:*
• 34 exclusive LEET sample papers (section-wise + full syllabus)
• Official LEET Syllabus PDF
• Official B.Tech LEET Prospectus 2027
• Formula sheets (A/B/C/D)
• Important topics PDFs
• Cheat sheets
• Rank Analysis tool
• Zero ads
• Lifetime access (pay once)

*Does NOT include:* College Predictor, Rank Predictor, Cutoff Analyzer, AI Counselling tools (wo Ultra Premium mein hain).

🛒 Buy now: https://hsbteleet.com/premium-login?tier=premium
📄 See all features: https://hsbteleet.com/btech-leet-premium",https://hsbteleet.com/premium-login?tier=premium,Normal
Ultra Premium Plan,"ultra, ultra premium, 149, college predictor, rank predictor, counselling tool, cutoff analyzer","*Ultra Premium — ₹149 (one-time, lifetime)* 🔥 Best Value

*Everything in Premium ₹99* PLUS:
⭐ AI College Predictor (2027 analytics)
⭐ Rank Predictor by marks
⭐ Smart Counselling Advisor (AI)
⭐ AI Choice Filling Generator
⭐ Cutoff Analyzer (all colleges)
⭐ Choice Mistake Detector
⭐ College Comparison Tool
⭐ Upgrade Chance Calculator
⭐ Mock Counselling Simulator
⭐ AI Study Planner (LEET syllabus)
⭐ Zero ads + Lifetime access

Note: Predictions approximate (±15%). Always verify with official HSTES.

🛒 Buy Ultra: https://hsbteleet.com/premium-login?tier=ultra
🛠 Ultra tools page: https://hsbteleet.com/ultra-premium
📄 Full compare: https://hsbteleet.com/btech-leet-premium",https://hsbteleet.com/premium-login?tier=ultra | https://hsbteleet.com/ultra-premium,Normal
Premium vs Ultra,"premium vs ultra, difference premium ultra, which plan, konsa plan, compare plans","*Premium ₹99 vs Ultra Premium ₹149*

*Both get:* 34 exclusive papers, syllabus PDF, prospectus, formula/topic sheets, Rank Analysis, ad-free, lifetime.

*Only Ultra ₹149 gets:* College Predictor, Rank Predictor, Cutoff Analyzer, AI Counselling Advisor, Choice Filling tools, Study Planner, Mock Counselling, College Comparison.

*Recommendation:*
• Sirf papers practice chahiye → *Premium ₹99*
• College/rank/counselling strategy bhi chahiye → *Ultra ₹149*

Buy Premium: https://hsbteleet.com/premium-login?tier=premium
Buy Ultra: https://hsbteleet.com/premium-login?tier=ultra",https://hsbteleet.com/btech-leet-premium,Normal
How to Buy / Login,"how to buy, kaise buy, login, register, payment, razorpay, account","*How to buy Premium / Ultra*

1. Open: https://hsbteleet.com/premium-login
2. Choose *Premium ₹99* or *Ultra ₹149*
3. Register with Name, Email, Mobile
4. Pay securely via Razorpay
5. Lifetime access unlock instantly

After payment:
• Papers → https://hsbteleet.com/premium-papers
• Ultra tools → https://hsbteleet.com/ultra-premium

Already paid? Just Login on the same page.

Payment issue? Reply here — admin will help (HIGH PRIORITY).",https://hsbteleet.com/premium-login,Normal
Premium Papers Access,"premium papers, sample paper premium, mock test, paper 17, 34 papers, where papers","*34 Premium LEET Sample Papers*

Pattern: 90 MCQ · 90 minutes · No negative marking (official LEET scheme)
Sections: Basic Sciences, Electronics stream, Mechanical stream, Other Engg streams.

Access (login required):
👉 https://hsbteleet.com/premium-papers

Direct paper examples:
• Paper 1: https://hsbteleet.com/premium-sample-paper-1
• Paper 17: https://hsbteleet.com/premium-sample-paper-17
• Paper 26: https://hsbteleet.com/premium-sample-paper-26

Not purchased yet? Buy: https://hsbteleet.com/premium-login?tier=premium",https://hsbteleet.com/premium-papers,Normal
LEET Syllabus,"leet syllabus, leet syllabus pdf, btech leet syllabus, haryana leet syllabus, ocet syllabus","*Haryana B.Tech LEET Syllabus (Official PDF)*

Download PDF:
📄 https://hsbteleet.com/pdf/B.Tech-LEET-Syllabus-2026.pdf

Syllabus page (explained):
👉 https://hsbteleet.com/leet-syllabus
Also: https://hsbteleet.com/haryana-leet-syllabus

*Exam quick facts:*
• 90 objective MCQs · 90 minutes
• 1 mark each · *No negative marking*
• Section a Basic Sciences (25)
• Section b Electronics stream (25)
• Section c Mechanical stream (20)
• Section d Other Engg streams (20)

Exam pattern page: https://hsbteleet.com/haryana-leet-exam-pattern",https://hsbteleet.com/pdf/B.Tech-LEET-Syllabus-2026.pdf | https://hsbteleet.com/leet-syllabus,Normal
LEET Exam Pattern,"exam pattern, marking scheme, negative marking, 90 questions, duration","*Haryana LEET Exam Pattern*

• Mode: Online CBT
• Questions: 90 MCQ
• Duration: 90 minutes
• Marks: 1 per question
• Negative marking: *NO*
• Language: English

Full page: https://hsbteleet.com/haryana-leet-exam-pattern
Syllabus PDF: https://hsbteleet.com/pdf/B.Tech-LEET-Syllabus-2026.pdf",https://hsbteleet.com/haryana-leet-exam-pattern,Normal
LEET Eligibility,"eligibility, eligible, diploma percentage, who can apply leet","*LEET Eligibility (summary)*

Diploma holders seeking admission to *2nd year (3rd semester) B.E./B.Tech* under Lateral Entry in Haryana (as per HSTES brochure).

Full details:
👉 https://hsbteleet.com/haryana-leet-eligibility
Prospectus PDF (Premium users also get inside dashboard):
👉 https://hsbteleet.com/pdf/BTechLE-Prospectus-2026.pdf

Official HSTES: https://hstes.org.in",https://hsbteleet.com/haryana-leet-eligibility,Normal
Free LEET Sample Papers,"free sample paper, free leet paper, btech sample, mock free, leet sample","*Free LEET Sample Papers*

Hub: https://hsbteleet.com/btech-leet-sample-paper
Also: https://hsbteleet.com/leet-sample-paper

Free set examples:
• https://hsbteleet.com/btech-sample-paper-1
• https://hsbteleet.com/btech-sample-paper-2
(… up to free sample sets on site)

*Want harder exclusive papers?* 34 Premium papers → https://hsbteleet.com/premium-login?tier=premium",https://hsbteleet.com/btech-leet-sample-paper,Normal
Diploma Syllabus Hub,"diploma syllabus, hsbte syllabus, polytechnic syllabus, branch syllabus","*HSBTE Diploma Syllabus (all branches)*

Open branch cards & download PDFs:
👉 https://hsbteleet.com/hsbte-syllabus

Popular direct PDFs:
• Computer Engg: https://hsbteleet.com/syllabus/2%20Final%2001-08-2024%20-%20Diploma%20in%20Computer%20Engineering.pdf
• Mechanical: https://hsbteleet.com/syllabus/14-Final-01-08-2024-Diploma-in-Mechanical-Engineering.pdf
• Civil: https://hsbteleet.com/syllabus/17-Final-01-08-2024-Diploma-in-Civil-Engineering.pdf
• Electrical: https://hsbteleet.com/syllabus/21-Final-01-08-2024-Diploma-in-Electrical-Engineering.pdf
• AI & ML: https://hsbteleet.com/syllabus/18-Final-01-08-2024-Diploma-in-Artificial-Intelligence-and-Machine-Learning.pdf

Bol do branch name — main PDF link bhej dunga.",https://hsbteleet.com/hsbte-syllabus,Normal
CSE Syllabus PDF,"cse syllabus, computer syllabus, computer engineering syllabus, diploma cse syllabus","*Diploma in Computer Engineering — Official Syllabus PDF*

📄 Download:
https://hsbteleet.com/syllabus/2%20Final%2001-08-2024%20-%20Diploma%20in%20Computer%20Engineering.pdf

All branches syllabus page:
👉 https://hsbteleet.com/hsbte-syllabus

CSE PYQ hub:
👉 https://hsbteleet.com/computer-pyq",https://hsbteleet.com/syllabus/2%20Final%2001-08-2024%20-%20Diploma%20in%20Computer%20Engineering.pdf,Normal
PYQ Hub,"pyq, previous year, previous year paper, hsbte pyq, question paper diploma","*HSBTE Previous Year Question Papers (FREE)*

All branches hub:
👉 https://hsbteleet.com/hsbte-pyq

Computer Engg hub:
👉 https://hsbteleet.com/computer-pyq

Format: Branch page → Semester → Subject-wise PDFs.

Example — CSE 1st semester:
👉 https://hsbteleet.com/computer-1-semester

Example — Mechanical 3rd semester:
👉 https://hsbteleet.com/mech-3

Batao: *Branch + Semester* (jaise ""civil 2nd sem PYQ"").",https://hsbteleet.com/hsbte-pyq,Normal
CSE Sem 1 PYQ,"cse 1, cse 1st, computer 1st semester, computer semester 1, cse sem 1 pyq, computer 1 semester","*Computer Engineering — 1st Semester PYQ*

👉 Open all subjects:
https://hsbteleet.com/computer-1-semester

Branch hub: https://hsbteleet.com/computer-pyq
Syllabus PDF: https://hsbteleet.com/syllabus/2%20Final%2001-08-2024%20-%20Diploma%20in%20Computer%20Engineering.pdf",https://hsbteleet.com/computer-1-semester,Normal
CSE Other Semesters,"cse 2, cse 3, cse 4, cse 5, cse 6, computer 2nd, computer 3rd, computer 4th, computer 5th, computer 6th","*Computer Engineering PYQ by semester*

• Sem 1: https://hsbteleet.com/computer-1-semester
• Sem 2: https://hsbteleet.com/computer-pyq-2-semester
• Sem 3: https://hsbteleet.com/computer-pyq-3-semester
• Sem 4: https://hsbteleet.com/computer-pyq-4-semester
• Sem 5: https://hsbteleet.com/computer-pyq-5-semester
• Sem 6: https://hsbteleet.com/computer-pyq-6-semester

Hub: https://hsbteleet.com/computer-pyq",https://hsbteleet.com/computer-pyq,Normal
Counseling Help,"counseling, counselling, choice filling help, college recommend, counseling 99","*Personalized LEET Counseling Help — ₹99*

Expert reviews your rank, category, diploma branch & preferences and suggests colleges/branches with reasons.

👉 Submit: https://hsbteleet.com/counseling
👉 Track replies: https://hsbteleet.com/user-counseling

Response usually 24–48 hours on dashboard.

Want AI predictors yourself? → Ultra Premium ₹149
https://hsbteleet.com/premium-login?tier=ultra",https://hsbteleet.com/counseling,Normal
LEET Counselling Info,"leet counselling process, hstes counselling, choice locking, seat allotment","*Haryana LEET Counselling (info)*

Guide: https://hsbteleet.com/haryana-leet-counselling
Also: https://hsbteleet.com/leet-counselling
Documents: https://hsbteleet.com/haryana-leet-admission-documents
Seat intake: https://hsbteleet.com/haryana-leet-seat-intake
Colleges: https://hsbteleet.com/haryana-leet-colleges

Official portal: https://hstes.org.in",https://hsbteleet.com/haryana-leet-counselling,Normal
