Category,Name,Description,URL,Keywords,Notes
Main,Home,Website homepage,https://hsbteleet.com/,"home, hsbteleet",Start here
Main,HSBTE PYQ Hub,All diploma previous year papers,https://hsbteleet.com/hsbte-pyq,"pyq, previous year, diploma papers",FREE
Main,HSBTE Diploma Syllabus,All branch syllabus PDF cards,https://hsbteleet.com/hsbte-syllabus,"diploma syllabus, hsbte syllabus",FREE PDFs
Main,Haryana LEET Hub,LEET landing / overview,https://hsbteleet.com/haryanaleet,"leet, haryana leet",
Main,B.Tech LEET,B.Tech LEET main page,https://hsbteleet.com/btech-leet,btech leet,
Main,FAQ,Website FAQ page,https://hsbteleet.com/faq,faq,
Main,Contact,Email + WhatsApp contact,https://hsbteleet.com/contact,"contact, support",WhatsApp 9992507270
Main,HSBTE Result,Result related page,https://hsbteleet.com/hsbte-result,result,
Main,Haryana Diploma Info,Diploma info page,https://hsbteleet.com/haryana-diploma-info,diploma info,
Premium,Premium Landing,Plans compare Premium vs Ultra,https://hsbteleet.com/btech-leet-premium,"premium, ultra, plans",Marketing page
Premium,Buy / Login Premium,Register + Razorpay for Premium ₹99,https://hsbteleet.com/premium-login?tier=premium,"buy premium, login, pay 99",BUY LINK
Premium,Buy / Login Ultra,Register + Razorpay for Ultra ₹149,https://hsbteleet.com/premium-login?tier=ultra,"buy ultra, login, pay 149",BUY LINK
Premium,Premium Login (default),Login/register page,https://hsbteleet.com/premium-login,login premium,
Premium,Premium Papers Dashboard,All 34 papers + PDFs (login required),https://hsbteleet.com/premium-papers,"premium papers, mocks",Login required
Premium,Ultra Premium Tools,College/rank/counselling tools,https://hsbteleet.com/ultra-premium,"ultra tools, predictor",Ultra login required
Premium,Rank Analysis,Rank analysis tool,https://hsbteleet.com/rank-analysis,rank analysis,Premium+
Premium,College Predictor,AI college predictor,https://hsbteleet.com/college-predictor,college predictor,Ultra only
Premium,Study Plan,AI study planner,https://hsbteleet.com/study-plan,study plan,Ultra
Premium,Cutoff Analytics,Cutoff analytics tool,https://hsbteleet.com/cutoff-analytics,cutoff analytics,Ultra
Premium,College Comparison,Compare colleges,https://hsbteleet.com/college-comparison,college comparison,Ultra
Premium,Last Year Cutoff,Last year cutoff page,https://hsbteleet.com/last-year-cutoff,last year cutoff,
Premium Papers,Premium Sample Paper 1,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-1,"premium paper 1, mock 1",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 2,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-2,"premium paper 2, mock 2",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 3,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-3,"premium paper 3, mock 3",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 4,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-4,"premium paper 4, mock 4",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 5,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-5,"premium paper 5, mock 5",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 6,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-6,"premium paper 6, mock 6",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 7,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-7,"premium paper 7, mock 7",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 8,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-8,"premium paper 8, mock 8",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 9,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-9,"premium paper 9, mock 9",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 10,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-10,"premium paper 10, mock 10",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 11,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-11,"premium paper 11, mock 11",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 12,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-12,"premium paper 12, mock 12",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 13,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-13,"premium paper 13, mock 13",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 14,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-14,"premium paper 14, mock 14",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 15,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-15,"premium paper 15, mock 15",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 16,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-16,"premium paper 16, mock 16",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 17,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-17,"premium paper 17, mock 17",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 18,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-18,"premium paper 18, mock 18",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 19,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-19,"premium paper 19, mock 19",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 20,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-20,"premium paper 20, mock 20",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 21,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-21,"premium paper 21, mock 21",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 22,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-22,"premium paper 22, mock 22",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 23,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-23,"premium paper 23, mock 23",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 24,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-24,"premium paper 24, mock 24",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 25,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-25,"premium paper 25, mock 25",Requires Premium/Ultra
Premium Papers,Premium Sample Paper 26,Full syllabus mock 90Q / 90 min (login),https://hsbteleet.com/premium-sample-paper-26,"premium paper 26, mock 26",Requires Premium/Ultra
LEET Info,LEET Syllabus (page),Public LEET information page,https://hsbteleet.com/leet-syllabus,leet syllabus,FREE
LEET Info,Haryana LEET Syllabus,Public LEET information page,https://hsbteleet.com/haryana-leet-syllabus,haryana leet syllabus,FREE
LEET Info,Exam Pattern,Public LEET information page,https://hsbteleet.com/haryana-leet-exam-pattern,"exam pattern, marking",FREE
LEET Info,Eligibility,Public LEET information page,https://hsbteleet.com/haryana-leet-eligibility,eligibility,FREE
LEET Info,Counselling Guide,Public LEET information page,https://hsbteleet.com/haryana-leet-counselling,counselling process,FREE
LEET Info,LEET Counselling,Public LEET information page,https://hsbteleet.com/leet-counselling,leet counselling,FREE
LEET Info,Cutoff,Public LEET information page,https://hsbteleet.com/haryana-leet-cutoff,cutoff,FREE
